date, Population, Annual % Change
1950/12/31,227549258,
1951/12/31,232483995,2.17
1952/12/31,237586060,2.19
1953/12/31,242837448,2.21
1954/12/31,248244771,2.23
1955/12/31,253847728,2.26
1956/12/31,259631382,2.28
1957/12/31,265515232,2.27
1958/12/31,271429557,2.23
1959/12/31,277648187,2.29
1960/12/31,284287856,2.39
1961/12/31,291177557,2.42
1962/12/31,298334053,2.46
1963/12/31,305755225,2.49
1964/12/31,313465702,2.52
1965/12/31,321446986,2.55
1966/12/31,329658041,2.55
1967/12/31,338159594,2.58
1968/12/31,346980009,2.61
1969/12/31,356070247,2.62
1970/12/31,365450108,2.63
1971/12/31,375085855,2.64
1972/12/31,384930392,2.62
1973/12/31,395212021,2.67
1974/12/31,406068836,2.75
1975/12/31,417556630,2.83
1976/12/31,429572939,2.88
1977/12/31,441701411,2.82
1978/12/31,454462679,2.89
1979/12/31,467975884,2.97
1980/12/31,481542773,2.9
1981/12/31,495655336,2.93
1982/12/31,510540229,3
1983/12/31,525335031,2.9
1984/12/31,540182783,2.83
1985/12/31,555652630,2.86
1986/12/31,571646426,2.88
1987/12/31,588079706,2.87
1988/12/31,604511226,2.79
1989/12/31,621167635,2.76
1990/12/31,638157236,2.74
1991/12/31,655040493,2.65
1992/12/31,671931548,2.58
1993/12/31,689139958,2.56
1994/12/31,706488294,2.52
1995/12/31,724331670,2.53
1996/12/31,742764748,2.54
1997/12/31,761224444,2.49
1998/12/31,779908035,2.45
1999/12/31,799099340,2.46
2000/12/31,818952057,2.48
2001/12/31,839463871,2.5
2002/12/31,860611461,2.52
2003/12/31,882349262,2.53
2004/12/31,904781335,2.54
2005/12/31,927898100,2.55
2006/12/31,951740272,2.57
2007/12/31,976461444,2.6
2008/12/31,1001981281,2.61
2009/12/31,1028200282,2.62
2010/12/31,1055233397,2.63
2011/12/31,1082675800,2.6
2012/12/31,1110797234,2.6
2013/12/31,1140180580,2.65
2014/12/31,1170299023,2.64
2015/12/31,1201107938,2.63
2016/12/31,1232111603,2.58
2017/12/31,1263333733,2.53
2018/12/31,1295265049,2.53
2019/12/31,1327701163,2.5
2020/12/31,1360677231,2.48
2021/12/31,1393676444,2.43
2022/12/31,1426736305,2.37
2023/12/31,1460481772,2.37
2024/12/31,1494993924,2.36
2025/12/31,1530031247,2.34
2026/12/31,1565426616,2.31
2027/12/31,1601202762,2.29
2028/12/31,1637345106,2.26
2029/12/31,1673845126,2.23
2030/12/31,1710666359,2.2
2031/12/31,1747785516,2.17
2032/12/31,1785223387,2.14
2033/12/31,1822964745,2.11
2034/12/31,1861003225,2.09
2035/12/31,1899296806,2.06
2036/12/31,1937777711,2.03
2037/12/31,1976448546,2
2038/12/31,2015305954,1.97
2039/12/31,2054303343,1.94
2040/12/31,2093408427,1.9
2041/12/31,2132617527,1.87
2042/12/31,2171875609,1.84
2043/12/31,2211166983,1.81
2044/12/31,2250478962,1.78
2045/12/31,2289760657,1.75
2046/12/31,2328998686,1.71
2047/12/31,2368191007,1.68
2048/12/31,2407306427,1.65
2049/12/31,2446293956,1.62
2050/12/31,2485135539,1.59
2051/12/31,2523769525,1.55
2052/12/31,2562212475,1.52
2053/12/31,2600475601,1.49
2054/12/31,2638493882,1.46
2055/12/31,2676268187,1.43
2056/12/31,2713808602,1.4
2057/12/31,2751105347,1.37
2058/12/31,2788100678,1.34
2059/12/31,2824746220,1.31
2060/12/31,2861079511,1.29
2061/12/31,2897140195,1.26
2062/12/31,2932931499,1.24
2063/12/31,2968373604,1.21
2064/12/31,3003468334,1.18
2065/12/31,3038189396,1.16
2066/12/31,3072489966,1.13
2067/12/31,3106448544,1.11
2068/12/31,3140019266,1.08
2069/12/31,3173134557,1.05
2070/12/31,3205773359,1.03
2071/12/31,3237935473,1
2072/12/31,3269661930,0.98
2073/12/31,3300925347,0.96
2074/12/31,3331662177,0.93
2075/12/31,3361854381,0.91
2076/12/31,3391480493,0.88
2077/12/31,3420510775,0.86
2078/12/31,3449000022,0.83
2079/12/31,3476975700,0.81
2080/12/31,3504401640,0.79
2081/12/31,3531278214,0.77
2082/12/31,3557592404,0.75
2083/12/31,3583317421,0.72
2084/12/31,3608448708,0.7
2085/12/31,3632983263,0.68
2086/12/31,3656872629,0.66
2087/12/31,3680115945,0.64
2088/12/31,3702756286,0.62
2089/12/31,3724740394,0.59
2090/12/31,3746056451,0.57
2091/12/31,3766731760,0.55
2092/12/31,3786782004,0.53
2093/12/31,3806216486,0.51
2094/12/31,3825036829,0.49
2095/12/31,3843212997,0.48
2096/12/31,3860723993,0.46
2097/12/31,3877576535,0.44
2098/12/31,3893797579,0.42
2099/12/31,3909421429,0.4
2100/12/31,3924420614,0.38
